Team/Member,Username,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
Team Tibbetts,ESPNfan4482064991,---,10-4,"1,716.42","1,583.56",2,1,,Open options
Krafts Massage Parlor,ESPNFAN5838410382,---,7-7,"1,760.52","1,860.78",4,2,,Open options
Team Goose,Geoffrey121920011219,---,12-2,"2,022.24","1,564.54",1,3,,Open options
Team Hyatt,espn58351799,---,9-5,"1,804.38","1,701.10",3,4,,Open options
Team Proctor,ESPNFAN5617785783,---,5-9,"1,604.30","1,660.96",8,5,,Open options
Team Chesbrough,ESPNfan2157928003,---,6-8,"1,769.22","1,815.00",5,6,,Open options
Chef Dalvin,Jack56518,---,4-10,"1,492.82","1,644.82",10,7,,Open options
Team Sprague,colbysprague1,---,6-8,"1,628.96","1,745.80",6,8,,Open options
Glizzy Gladiators,ESPNFAN2653439712,---,6-8,"1,474.92","1,564.56",7,9,,Open options
Team greenhouse,dg10sox,---,5-9,"1,580.40","1,713.06",9,10,,Open options
